,store,product,category,avg_daily_demand,std_daily_demand,total_units_sold,total_revenue,unit_price,current_stock,stockout_count,total_days,stockout_rate_%,forecast_avg_daily,safety_stock,reorder_point,eoq,days_of_stock,stockout_risk,overstock_flag,low_stock_flag,risk_level,holding_cost_daily,recommended_order,abc_class,abc_score,risk_score,priority_score
12,Store_Delhi,Mixer Grinder,Home & Kitchen,25.55,9.19,28002,93182110.0,3500.0,60,8,1096,0.73,25.354333333333333,40.1,218.94,32.65,2.3,True,False,False, HIGH - REORDER NOW,143.84,33.0,A,3,3,6
13,Store_Bangalore,Mixer Grinder,Home & Kitchen,25.54,9.08,27987,93240770.0,3500.0,218,3,1096,0.27,24.28033333333333,39.66,218.41,32.64,8.5,True,False,False, HIGH - REORDER NOW,522.6,33.0,A,3,3,6
14,Store_Mumbai,Smartphone,Electronics,36.29,17.19,39770,327298915.0,15000.0,198,25,1096,2.28,54.06233333333333,75.05,329.06,18.79,5.5,True,False,False, HIGH - REORDER NOW,2034.25,19.0,A,3,3,6
15,Store_Bangalore,Laptop,Electronics,14.53,6.77,15930,328304320.0,45000.0,120,11,1096,1.0,21.917333333333332,29.57,131.31,6.87,8.3,True,False,False, HIGH - REORDER NOW,3698.63,7.0,A,3,3,6
16,Store_Mumbai,Sports Shoes,Clothing,55.3,21.73,60611,115360131.08,1999.0,431,11,1096,1.0,51.544666666666664,94.85,481.96,63.55,7.8,True,False,False, HIGH - REORDER NOW,590.12,64.0,A,3,3,6
17,Store_Delhi,Laptop,Electronics,14.55,6.88,15947,328378380.0,45000.0,89,22,1096,2.01,22.534333333333333,30.06,131.91,6.87,6.1,True,False,False, HIGH - REORDER NOW,2743.15,7.0,A,3,3,6
18,Store_Bangalore,Earbuds,Electronics,87.07,41.17,95431,215524455.0,2500.0,480,24,1096,2.19,109.38266666666667,179.73,789.23,71.31,5.5,True,False,False, HIGH - REORDER NOW,821.92,71.0,A,3,3,6
19,Store_Chennai,Mixer Grinder,Home & Kitchen,25.5,8.99,27952,93117885.0,3500.0,132,10,1096,0.91,26.283666666666665,39.24,217.77,32.62,5.2,True,False,False, HIGH - REORDER NOW,316.44,33.0,A,3,3,6
20,Store_Delhi,Sports Shoes,Clothing,55.24,21.69,60545,115455123.56,1999.0,520,16,1096,1.46,47.092999999999996,94.69,481.38,63.52,9.4,False,False,False, MEDIUM - Monitor Closely,711.97,0.0,A,3,2,5
21,Store_Delhi,Smartphone,Electronics,36.71,17.15,40235,327111605.0,15000.0,343,12,1096,1.09,56.37566666666667,74.85,331.83,18.9,9.3,False,False,False, MEDIUM - Monitor Closely,3523.97,0.0,A,3,2,5
22,Store_Hyderabad,Men T-Shirt,Clothing,109.85,43.21,120394,68707887.68,599.0,778,20,1096,1.82,109.12666666666668,188.63,957.57,163.63,7.1,True,False,False, HIGH - REORDER NOW,319.19,164.0,B,2,3,5
23,Store_Delhi,Rice (5kg),Grocery,249.66,74.8,273630,65309937.5,250.0,365,3,1096,0.27,225.363,326.56,2074.2,381.84,1.5,True,False,False, HIGH - REORDER NOW,62.5,382.0,B,2,3,5
24,Store_Delhi,Men T-Shirt,Clothing,110.57,43.01,121182,69232204.36,599.0,137,7,1096,0.64,104.153,187.76,961.73,164.16,1.2,True,False,True, HIGH - REORDER NOW,56.21,164.0,B,2,3,5
25,Store_Delhi,Wheat Flour (5kg),Grocery,271.97,80.03,298078,56953242.0,200.0,1520,3,1096,0.27,235.24666666666664,349.39,2253.17,445.58,5.6,True,False,False, HIGH - REORDER NOW,208.22,446.0,B,2,3,5
26,Store_Delhi,Women Kurti,Clothing,96.91,38.63,106210,90835022.93,899.0,782,11,1096,1.0,87.92666666666668,168.62,846.97,125.45,8.1,True,False,False, HIGH - REORDER NOW,481.52,125.0,B,2,3,5
27,Store_Hyderabad,Kids Jeans,Clothing,68.67,28.2,75266,57169768.35,799.0,336,13,1096,1.19,63.71966666666666,123.09,603.8,112.02,4.9,True,False,False, HIGH - REORDER NOW,183.88,112.0,B,2,3,5
28,Store_Delhi,Pressure Cooker,Home & Kitchen,38.52,13.41,42216,60262485.0,1500.0,175,11,1096,1.0,38.440333333333335,58.54,328.17,61.23,4.5,True,False,False, HIGH - REORDER NOW,179.79,61.0,B,2,3,5
29,Store_Hyderabad,Non-Stick Pan,Home & Kitchen,57.8,19.97,63351,48257232.0,800.0,479,8,1096,0.73,57.26199999999999,87.17,491.78,102.71,8.3,True,False,False, HIGH - REORDER NOW,262.47,103.0,B,2,3,5
30,Store_Hyderabad,Pressure Cooker,Home & Kitchen,37.98,13.07,41621,59419740.0,1500.0,190,13,1096,1.19,35.98633333333333,57.04,322.87,60.8,5.0,True,False,False, HIGH - REORDER NOW,195.21,61.0,B,2,3,5
31,Store_Hyderabad,Rice (5kg),Grocery,250.04,74.87,274040,65388792.5,250.0,440,3,1096,0.27,216.738,326.82,2077.08,382.13,1.8,True,False,False, HIGH - REORDER NOW,75.34,382.0,B,2,3,5
32,Store_Delhi,Kids Jeans,Clothing,69.4,28.6,76057,57816015.53,799.0,123,14,1096,1.28,58.11300000000001,124.85,610.62,112.61,1.8,True,False,True, HIGH - REORDER NOW,67.31,113.0,B,2,3,5
33,Store_Hyderabad,Wheat Flour (5kg),Grocery,274.08,81.38,300396,57392142.0,200.0,1534,4,1096,0.36,248.19133333333332,355.24,2273.83,447.3,5.6,True,False,False, HIGH - REORDER NOW,210.14,447.0,B,2,3,5
34,Store_Hyderabad,Women Kurti,Clothing,96.09,37.45,105314,90154686.7,899.0,830,15,1096,1.37,81.627,163.48,836.11,124.92,8.6,True,False,False, HIGH - REORDER NOW,511.08,125.0,B,2,3,5
35,Store_Mumbai,Kids Jeans,Clothing,69.18,28.02,75816,57623576.38,799.0,410,21,1096,1.92,63.044999999999995,122.34,606.57,112.43,5.9,True,False,False, HIGH - REORDER NOW,224.38,112.0,B,2,3,5
36,Store_Mumbai,Men T-Shirt,Clothing,110.6,45.16,121216,69110661.27,599.0,610,7,1096,0.64,108.19366666666666,197.16,971.35,164.19,5.5,True,False,False, HIGH - REORDER NOW,250.27,164.0,B,2,3,5
37,Store_Mumbai,Mixer Grinder,Home & Kitchen,25.5,8.9,27953,93248715.0,3500.0,256,7,1096,0.64,23.663,38.86,217.39,32.62,10.0,False,False,False, MEDIUM - Monitor Closely,613.7,0.0,A,3,2,5
38,Store_Mumbai,Non-Stick Pan,Home & Kitchen,57.72,21.01,63262,48076616.0,800.0,237,3,1096,0.27,55.464666666666666,91.72,495.77,102.64,4.1,True,False,False, HIGH - REORDER NOW,129.86,103.0,B,2,3,5
39,Store_Mumbai,Rice (5kg),Grocery,249.2,73.92,273128,65160707.5,250.0,936,10,1096,0.91,222.25799999999998,322.68,2067.11,381.49,3.8,True,False,False, HIGH - REORDER NOW,160.27,381.0,B,2,3,5
40,Store_Mumbai,Smart Watch,Electronics,44.01,20.94,48239,294245260.0,8000.0,421,13,1096,1.19,68.14433333333334,91.43,399.53,28.34,9.6,False,False,False, MEDIUM - Monitor Closely,2306.85,0.0,A,3,2,5
41,Store_Mumbai,Wheat Flour (5kg),Grocery,273.48,81.42,299735,57261814.0,200.0,1535,3,1096,0.27,237.27133333333333,355.43,2269.8,446.81,5.6,True,False,False, HIGH - REORDER NOW,210.27,447.0,B,2,3,5
42,Store_Hyderabad,Smart Watch,Electronics,44.13,21.73,48363,294017610.0,8000.0,420,21,1096,1.92,64.07966666666667,94.85,403.74,28.38,9.5,False,False,False, MEDIUM - Monitor Closely,2301.37,0.0,A,3,2,5
43,Store_Mumbai,Women Kurti,Clothing,97.69,38.8,107066,91549017.72,899.0,744,13,1096,1.19,84.87166666666667,169.39,853.21,125.96,7.6,True,False,False, HIGH - REORDER NOW,458.12,126.0,B,2,3,5
44,Store_Chennai,Men T-Shirt,Clothing,110.69,43.54,121314,69282232.84,599.0,477,24,1096,2.19,113.632,190.07,964.89,164.25,4.3,True,False,False, HIGH - REORDER NOW,195.7,164.0,B,2,3,5
45,Store_Bangalore,Women Kurti,Clothing,97.51,40.7,106876,91363940.59,899.0,463,6,1096,0.55,84.30933333333334,177.68,860.28,125.84,4.7,True,False,False, HIGH - REORDER NOW,285.09,126.0,B,2,3,5
46,Store_Bangalore,Pressure Cooker,Home & Kitchen,38.1,13.04,41754,59679600.0,1500.0,82,4,1096,0.36,35.88033333333333,56.91,323.59,60.89,2.2,True,False,False, HIGH - REORDER NOW,84.25,61.0,B,2,3,5
47,Store_Bangalore,Smart Watch,Electronics,43.92,21.29,48138,293770135.0,8000.0,422,20,1096,1.82,63.524,92.94,400.39,28.31,9.6,False,False,False, MEDIUM - Monitor Closely,2312.33,0.0,A,3,2,5
48,Store_Chennai,Laptop,Electronics,14.79,7.33,16215,328418815.0,45000.0,152,13,1096,1.19,24.062,31.99,135.55,6.93,10.3,False,True,False, MEDIUM - Monitor Closely,4684.93,0.0,A,3,2,5
49,Store_Chennai,Non-Stick Pan,Home & Kitchen,57.83,20.17,63384,48218760.0,800.0,443,11,1096,1.0,52.864333333333335,88.05,492.87,102.73,7.7,True,False,False, HIGH - REORDER NOW,242.74,103.0,B,2,3,5
50,Store_Chennai,Pressure Cooker,Home & Kitchen,37.99,13.4,41638,59481120.0,1500.0,230,3,1096,0.27,35.72566666666667,58.5,324.44,60.81,6.1,True,False,False, HIGH - REORDER NOW,236.3,61.0,B,2,3,5
51,Store_Chennai,Wheat Flour (5kg),Grocery,273.16,79.29,299387,57281396.0,200.0,2235,4,1096,0.36,239.41133333333335,346.15,2258.29,446.55,8.2,True,False,False, HIGH - REORDER NOW,306.16,447.0,B,2,3,5
52,Store_Bangalore,Kids Jeans,Clothing,69.43,28.54,76094,57832802.52,799.0,527,6,1096,0.55,57.869,124.57,610.57,112.63,7.6,True,False,False, HIGH - REORDER NOW,288.41,113.0,B,2,3,5
53,Store_Bangalore,Wheat Flour (5kg),Grocery,273.82,80.36,300104,57348144.0,200.0,1588,5,1096,0.46,237.84966666666665,350.83,2267.55,447.09,5.8,True,False,False, HIGH - REORDER NOW,217.53,447.0,B,2,3,5
54,Store_Bangalore,Men T-Shirt,Clothing,110.97,44.02,121627,69406441.48,599.0,289,12,1096,1.09,99.063,192.16,968.97,164.46,2.6,True,False,False, HIGH - REORDER NOW,118.57,164.0,B,2,3,5
55,Store_Chennai,Smart Watch,Electronics,43.46,20.1,47634,292937855.0,8000.0,448,21,1096,1.92,67.175,87.76,391.99,28.16,10.3,False,True,False, MEDIUM - Monitor Closely,2454.79,0.0,A,3,2,5
56,Store_Chennai,Kids Jeans,Clothing,69.62,28.73,76303,57962991.58,799.0,638,15,1096,1.37,57.38733333333333,125.43,612.77,112.79,9.2,False,False,False, MEDIUM - Monitor Closely,349.15,0.0,B,2,2,4
57,Store_Mumbai,Shampoo (200ml),Personal Care,181.65,43.85,199089,34358767.2,180.0,568,4,1096,0.36,166.678,191.42,1462.97,383.85,3.1,True,False,False, HIGH - REORDER NOW,70.03,384.0,C,1,3,4
58,Store_Chennai,Cooking Oil (1L),Grocery,222.84,66.07,244233,34965811.5,150.0,1339,5,1096,0.46,210.389,288.42,1848.3,465.72,6.0,True,False,False, HIGH - REORDER NOW,137.57,466.0,C,1,3,4
59,Store_Delhi,Face Wash,Personal Care,193.98,48.83,212599,24460796.4,120.0,559,4,1096,0.36,187.18366666666668,213.15,1570.99,485.8,2.9,True,False,False, HIGH - REORDER NOW,45.95,486.0,C,1,3,4
60,Store_Hyderabad,Toothpaste,Personal Care,362.53,87.34,397330,30546244.0,80.0,2280,3,1096,0.27,338.50100000000003,381.3,2918.99,813.4,6.3,True,False,False, HIGH - REORDER NOW,124.93,813.0,C,1,3,4
61,Store_Hyderabad,Moisturizer,Personal Care,121.12,30.09,132751,31878955.0,250.0,400,3,1096,0.27,125.045,131.38,979.24,265.96,3.3,True,False,False, HIGH - REORDER NOW,68.49,266.0,C,1,3,4
62,Store_Mumbai,Pressure Cooker,Home & Kitchen,38.52,13.43,42214,60227220.0,1500.0,344,9,1096,0.82,38.12433333333333,58.62,328.23,61.23,8.9,False,False,False, MEDIUM - Monitor Closely,353.42,0.0,B,2,2,4
63,Store_Mumbai,Cooking Oil (1L),Grocery,222.53,64.99,243897,34969932.0,150.0,747,9,1096,0.82,198.342,283.73,1841.47,465.4,3.4,True,False,False, HIGH - REORDER NOW,76.75,465.0,C,1,3,4
64,Store_Mumbai,Dal (1kg),Grocery,310.8,90.56,340639,39059404.8,120.0,1498,4,1096,0.36,273.49066666666664,395.33,2570.94,614.93,4.8,True,False,False, HIGH - REORDER NOW,123.12,615.0,C,1,3,4
65,Store_Mumbai,Earbuds,Electronics,88.54,42.33,97035,217194960.0,2500.0,1028,16,1096,1.46,137.68400000000003,184.79,804.54,71.91,11.6,False,True,False, OVERSTOCK - Reduce Orders,1760.27,0.0,A,3,1,4
66,Store_Mumbai,Face Wash,Personal Care,192.8,46.35,211310,24344594.4,120.0,426,5,1096,0.46,192.904,202.32,1551.93,484.33,2.2,True,False,False, HIGH - REORDER NOW,35.01,484.0,C,1,3,4
67,Store_Hyderabad,Water Bottle,Home & Kitchen,115.49,41.15,126580,42140490.0,350.0,533,6,1096,0.55,113.98866666666666,179.65,988.1,219.49,4.6,True,False,False, HIGH - REORDER NOW,127.77,219.0,C,1,3,4
68,Store_Chennai,Moisturizer,Personal Care,121.49,30.59,133156,31917475.0,250.0,308,2,1096,0.18,124.867,133.54,983.99,266.37,2.5,True,False,False, HIGH - REORDER NOW,52.74,266.0,C,1,3,4
69,Store_Mumbai,Moisturizer,Personal Care,120.91,30.1,132517,31788410.0,250.0,557,6,1096,0.55,125.45133333333334,131.39,977.76,265.73,4.6,True,False,False, HIGH - REORDER NOW,95.38,266.0,C,1,3,4
70,Store_Bangalore,Moisturizer,Personal Care,120.66,30.01,132240,31760040.0,250.0,822,2,1096,0.18,114.73066666666666,131.0,975.6,265.45,6.8,True,False,False, HIGH - REORDER NOW,140.75,265.0,C,1,3,4
71,Store_Delhi,Cooking Oil (1L),Grocery,223.7,67.87,245173,35100358.5,150.0,1803,7,1096,0.64,202.48766666666668,296.31,1862.2,466.62,8.1,True,False,False, HIGH - REORDER NOW,185.24,467.0,C,1,3,4
72,Store_Chennai,Women Kurti,Clothing,97.08,39.11,106401,91089062.35,899.0,971,10,1096,0.91,89.04733333333334,170.73,850.3,125.56,10.0,False,False,False, MEDIUM - Monitor Closely,597.9,0.0,B,2,2,4
73,Store_Delhi,Moisturizer,Personal Care,120.07,28.6,131593,31585730.0,250.0,261,1,1096,0.09,127.191,124.86,965.33,264.8,2.2,True,False,False, HIGH - REORDER NOW,44.69,265.0,C,1,3,4
74,Store_Delhi,Non-Stick Pan,Home & Kitchen,57.5,19.78,63015,47998152.0,800.0,506,10,1096,0.91,54.385666666666665,86.35,488.82,102.43,8.8,False,False,False, MEDIUM - Monitor Closely,277.26,0.0,B,2,2,4
75,Store_Bangalore,Face Wash,Personal Care,193.05,47.84,211587,24378584.4,120.0,1268,1,1096,0.09,178.387,208.83,1560.21,484.65,6.6,True,False,False, HIGH - REORDER NOW,104.22,485.0,C,1,3,4
76,Store_Delhi,Smart Watch,Electronics,43.96,21.35,48182,293500105.0,8000.0,494,14,1096,1.28,71.71933333333332,93.21,400.94,28.32,11.2,False,True,False, OVERSTOCK - Reduce Orders,2706.85,0.0,A,3,1,4
77,Store_Chennai,Water Bottle,Home & Kitchen,114.48,38.68,125474,41795456.5,350.0,892,10,1096,0.91,112.46033333333334,168.86,970.25,218.53,7.8,True,False,False, HIGH - REORDER NOW,213.84,219.0,C,1,3,4
78,Store_Chennai,Toothpaste,Personal Care,362.0,89.38,396755,30512472.0,80.0,2664,1,1096,0.09,307.79866666666663,390.18,2924.2,812.81,7.4,True,False,False, HIGH - REORDER NOW,145.97,813.0,C,1,3,4
79,Store_Delhi,Toothpaste,Personal Care,361.25,88.61,395926,30451111.2,80.0,673,2,1096,0.18,330.3473333333333,386.84,2915.56,811.96,1.9,True,False,False, HIGH - REORDER NOW,36.88,812.0,C,1,3,4
80,Store_Chennai,Shampoo (200ml),Personal Care,179.76,46.28,197021,34019202.6,180.0,947,4,1096,0.36,178.49033333333333,202.04,1460.39,381.85,5.3,True,False,False, HIGH - REORDER NOW,116.75,382.0,C,1,3,4
81,Store_Hyderabad,Dal (1kg),Grocery,311.91,91.4,341857,39284788.8,120.0,2498,1,1096,0.09,273.60433333333333,399.0,2582.39,616.03,8.0,True,False,False, HIGH - REORDER NOW,205.32,616.0,C,1,3,4
82,Store_Bangalore,Rice (5kg),Grocery,248.36,73.35,272203,64852445.0,250.0,2159,6,1096,0.55,217.03033333333332,320.2,2058.72,380.84,8.7,False,False,False, MEDIUM - Monitor Closely,369.69,0.0,B,2,2,4
83,Store_Hyderabad,Cooking Oil (1L),Grocery,223.29,67.02,244721,35033934.0,150.0,2137,3,1096,0.27,203.51666666666668,292.58,1855.58,466.19,9.6,False,False,False, MEDIUM - Monitor Closely,219.55,0.0,C,1,2,3
84,Store_Bangalore,Toothpaste,Personal Care,365.43,88.37,400514,30781654.4,80.0,3308,4,1096,0.36,337.55400000000003,385.79,2943.82,816.65,9.1,False,False,False, MEDIUM - Monitor Closely,181.26,0.0,C,1,2,3
85,Store_Delhi,Dal (1kg),Grocery,309.36,88.99,339058,38940720.0,120.0,3000,2,1096,0.18,272.77733333333333,388.48,2554.0,613.5,9.7,False,False,False, MEDIUM - Monitor Closely,246.58,0.0,C,1,2,3
86,Store_Chennai,Rice (5kg),Grocery,247.59,73.06,271356,64743335.0,250.0,3092,3,1096,0.27,236.87633333333332,318.96,2052.07,380.25,12.5,False,True,False, OVERSTOCK - Reduce Orders,529.45,0.0,B,2,1,3
87,Store_Bangalore,Non-Stick Pan,Home & Kitchen,57.24,19.38,62740,47792128.0,800.0,584,8,1096,0.73,55.41433333333334,84.58,485.29,102.21,10.2,False,False,False, HEALTHY,320.0,0.0,B,2,0,2
88,Store_Hyderabad,Shampoo (200ml),Personal Care,180.42,44.14,197741,34170852.6,180.0,2580,4,1096,0.36,180.93800000000002,192.71,1455.65,382.55,14.3,False,True,False, OVERSTOCK - Reduce Orders,318.08,0.0,C,1,1,2
89,Store_Chennai,Dal (1kg),Grocery,310.05,90.78,339820,38988848.4,120.0,4210,8,1096,0.73,268.9003333333333,396.29,2566.67,614.19,13.6,False,True,False, OVERSTOCK - Reduce Orders,346.03,0.0,C,1,1,2
90,Store_Delhi,Water Bottle,Home & Kitchen,115.05,39.15,126100,42030782.5,350.0,1389,7,1096,0.64,113.09166666666667,170.89,976.27,219.08,12.1,False,True,False, OVERSTOCK - Reduce Orders,332.98,0.0,C,1,1,2
91,Store_Delhi,Shampoo (200ml),Personal Care,180.09,44.06,197383,34121863.8,180.0,2327,3,1096,0.27,182.47166666666666,192.36,1453.02,382.2,12.9,False,True,False, OVERSTOCK - Reduce Orders,286.89,0.0,C,1,1,2
92,Store_Bangalore,Dal (1kg),Grocery,313.02,92.47,343073,39342291.6,120.0,3639,2,1096,0.18,284.23733333333337,403.66,2594.82,617.13,11.6,False,True,False, OVERSTOCK - Reduce Orders,299.1,0.0,C,1,1,2
93,Store_Bangalore,Cooking Oil (1L),Grocery,223.65,66.38,245125,35124613.5,150.0,2657,4,1096,0.36,186.226,289.77,1855.35,466.57,11.9,False,True,False, OVERSTOCK - Reduce Orders,272.98,0.0,C,1,1,2
94,Store_Bangalore,Shampoo (200ml),Personal Care,180.8,44.95,198159,34245923.4,180.0,1979,2,1096,0.18,178.17766666666665,196.23,1461.84,382.95,10.9,False,False,False, HEALTHY,243.99,0.0,C,1,0,1
95,Store_Bangalore,Water Bottle,Home & Kitchen,115.25,41.54,126310,42021773.5,350.0,1247,6,1096,0.55,115.47933333333334,181.35,988.07,219.26,10.8,False,False,False, HEALTHY,298.94,0.0,C,1,0,1
96,Store_Chennai,Face Wash,Personal Care,193.07,49.78,211601,24327078.0,120.0,1997,4,1096,0.36,192.04500000000002,217.32,1568.79,484.66,10.3,False,False,False, HEALTHY,164.14,0.0,C,1,0,1
97,Store_Hyderabad,Face Wash,Personal Care,194.77,46.94,213472,24569920.8,120.0,2263,0,1096,0.0,188.97033333333331,204.91,1568.33,486.8,11.6,False,False,False, HEALTHY,186.0,0.0,C,1,0,1
98,Store_Mumbai,Toothpaste,Personal Care,361.32,88.77,396009,30437302.4,80.0,4018,0,1096,0.0,353.78700000000003,387.51,2916.76,812.04,11.1,False,False,False, HEALTHY,220.16,0.0,C,1,0,1
99,Store_Mumbai,Water Bottle,Home & Kitchen,115.26,39.59,126329,42103575.5,350.0,1255,8,1096,0.73,114.977,172.81,979.66,219.27,10.9,False,False,False, HEALTHY,300.86,0.0,C,1,0,1
