,date,store,category,product,unit_price,discount_pct,effective_price,demand,actual_sales,lost_sales,revenue,current_stock,reorder_point,reorder_qty,lead_time,is_promotion,stockout_flag
34,2022-02-04,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,171,37,0,9,0,0
35,2022-02-05,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,138,37,0,9,0,0
36,2022-02-06,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,35,35,0,525000.0,103,37,0,9,0,0
37,2022-02-07,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,35,35,0,525000.0,68,37,0,9,0,0
38,2022-02-08,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,41,37,0,9,0,0
39,2022-02-09,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,464,37,450,9,0,0
40,2022-02-10,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,430,37,0,9,0,0
41,2022-02-11,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,29,29,0,435000.0,401,37,0,9,0,0
42,2022-02-12,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,369,37,0,9,0,0
43,2022-02-13,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,336,37,0,9,0,0
44,2022-02-14,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,18,18,0,270000.0,318,37,0,9,0,0
45,2022-02-15,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,298,37,0,9,0,0
46,2022-02-16,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,271,37,0,9,0,0
47,2022-02-17,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,249,37,0,9,0,0
48,2022-02-18,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,222,37,0,9,0,0
49,2022-02-19,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,37,37,0,555000.0,185,37,0,9,0,0
50,2022-02-20,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,151,37,0,9,0,0
51,2022-02-21,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,125,37,0,9,0,0
52,2022-02-22,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,103,37,0,9,0,0
53,2022-02-23,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,78,37,0,9,0,0
54,2022-02-24,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,47,37,0,9,0,0
55,2022-02-25,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,476,37,450,9,0,0
56,2022-02-26,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,36,36,0,540000.0,440,37,0,9,0,0
57,2022-02-27,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,39,39,0,585000.0,401,37,0,9,0,0
58,2022-02-28,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,375,37,0,9,0,0
59,2022-03-01,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,350,37,0,9,0,0
60,2022-03-02,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,323,37,0,9,0,0
61,2022-03-03,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,295,37,0,9,0,0
62,2022-03-04,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,273,37,0,9,0,0
63,2022-03-05,Store_Delhi,Electronics,Smartphone,15000,0.12,13200.0,34,34,0,448800.0,239,37,0,9,1,0
64,2022-03-06,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,208,37,0,9,0,0
65,2022-03-07,Store_Delhi,Electronics,Smartphone,15000,0.15,12750.0,28,28,0,357000.0,180,37,0,9,1,0
66,2022-03-08,Store_Delhi,Electronics,Smartphone,15000,0.15,12750.0,32,32,0,408000.0,148,37,0,9,1,0
67,2022-03-09,Store_Delhi,Electronics,Smartphone,15000,0.15,12750.0,37,37,0,471750.0,111,37,0,9,1,0
68,2022-03-10,Store_Delhi,Electronics,Smartphone,15000,0.15,12750.0,41,41,0,522750.0,70,37,0,9,1,0
69,2022-03-11,Store_Delhi,Electronics,Smartphone,15000,0.15,12750.0,35,35,0,446250.0,485,37,450,9,1,0
70,2022-03-12,Store_Delhi,Electronics,Smartphone,15000,0.15,12750.0,42,42,0,535500.0,443,37,0,9,1,0
71,2022-03-13,Store_Delhi,Electronics,Smartphone,15000,0.15,12750.0,34,34,0,433500.0,409,37,0,9,1,0
72,2022-03-14,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,389,37,0,9,0,0
73,2022-03-15,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,363,37,0,9,0,0
74,2022-03-16,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,337,37,0,9,0,0
75,2022-03-17,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,310,37,0,9,0,0
76,2022-03-18,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,282,37,0,9,0,0
77,2022-03-19,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,249,37,0,9,0,0
78,2022-03-20,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,221,37,0,9,0,0
79,2022-03-21,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,197,37,0,9,0,0
80,2022-03-22,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,174,37,0,9,0,0
81,2022-03-23,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,154,37,0,9,0,0
82,2022-03-24,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,130,37,0,9,0,0
83,2022-03-25,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,102,37,0,9,0,0
84,2022-03-26,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,72,37,0,9,0,0
85,2022-03-27,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,45,37,0,9,0,0
86,2022-03-28,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,475,37,450,9,0,0
87,2022-03-29,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,454,37,0,9,0,0
88,2022-03-30,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,429,37,0,9,0,0
89,2022-03-31,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,409,37,0,9,0,0
90,2022-04-01,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,377,37,0,9,0,0
91,2022-04-02,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,346,37,0,9,0,0
92,2022-04-03,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,318,37,0,9,0,0
93,2022-04-04,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,295,37,0,9,0,0
94,2022-04-05,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,17,17,0,255000.0,278,37,0,9,0,0
95,2022-04-06,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,248,37,0,9,0,0
96,2022-04-07,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,223,37,0,9,0,0
97,2022-04-08,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,198,37,0,9,0,0
98,2022-04-09,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,35,35,0,525000.0,163,37,0,9,0,0
99,2022-04-10,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,137,37,0,9,0,0
100,2022-04-11,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,112,37,0,9,0,0
101,2022-04-12,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,86,37,0,9,0,0
102,2022-04-13,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,61,37,0,9,0,0
103,2022-04-14,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,487,37,450,9,0,0
104,2022-04-15,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,457,37,0,9,0,0
105,2022-04-16,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,36,36,0,540000.0,421,37,0,9,0,0
106,2022-04-17,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,40,40,0,600000.0,381,37,0,9,0,0
107,2022-04-18,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,18,18,0,270000.0,363,37,0,9,0,0
108,2022-04-19,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,339,37,0,9,0,0
109,2022-04-20,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,317,37,0,9,0,0
110,2022-04-21,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,289,37,0,9,0,0
111,2022-04-22,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,266,37,0,9,0,0
112,2022-04-23,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,233,37,0,9,0,0
113,2022-04-24,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,202,37,0,9,0,0
114,2022-04-25,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,179,37,0,9,0,0
115,2022-04-26,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,153,37,0,9,0,0
116,2022-04-27,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,121,37,0,9,0,0
117,2022-04-28,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,96,37,0,9,0,0
118,2022-04-29,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,73,37,0,9,0,0
119,2022-04-30,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,35,35,0,525000.0,38,37,0,9,0,0
120,2022-05-01,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,35,35,0,525000.0,453,37,450,9,0,0
121,2022-05-02,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,426,37,0,9,0,0
122,2022-05-03,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,399,37,0,9,0,0
123,2022-05-04,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,16,16,0,240000.0,383,37,0,9,0,0
124,2022-05-05,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,356,37,0,9,0,0
125,2022-05-06,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,328,37,0,9,0,0
126,2022-05-07,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,301,37,0,9,0,0
127,2022-05-08,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,267,37,0,9,0,0
128,2022-05-09,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,244,37,0,9,0,0
129,2022-05-10,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,221,37,0,9,0,0
130,2022-05-11,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,196,37,0,9,0,0
131,2022-05-12,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,170,37,0,9,0,0
132,2022-05-13,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,145,37,0,9,0,0
133,2022-05-14,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,111,37,0,9,0,0
134,2022-05-15,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,83,37,0,9,0,0
135,2022-05-16,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,61,37,0,9,0,0
136,2022-05-17,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,486,37,450,9,0,0
137,2022-05-18,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,461,37,0,9,0,0
138,2022-05-19,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,433,37,0,9,0,0
139,2022-05-20,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,409,37,0,9,0,0
140,2022-05-21,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,375,37,0,9,0,0
141,2022-05-22,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,36,36,0,540000.0,339,37,0,9,0,0
142,2022-05-23,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,318,37,0,9,0,0
143,2022-05-24,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,297,37,0,9,0,0
144,2022-05-25,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,14,14,0,210000.0,283,37,0,9,0,0
145,2022-05-26,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,261,37,0,9,0,0
146,2022-05-27,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,236,37,0,9,0,0
147,2022-05-28,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,29,29,0,435000.0,207,37,0,9,0,0
148,2022-05-29,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,38,38,0,570000.0,169,37,0,9,0,0
149,2022-05-30,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,147,37,0,9,0,0
150,2022-05-31,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,120,37,0,9,0,0
151,2022-06-01,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,18,18,0,270000.0,102,37,0,9,0,0
152,2022-06-02,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,68,37,0,9,0,0
153,2022-06-03,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,42,37,0,9,0,0
154,2022-06-04,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,458,37,450,9,0,0
155,2022-06-05,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,434,37,0,9,0,0
156,2022-06-06,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,410,37,0,9,0,0
157,2022-06-07,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,382,37,0,9,0,0
158,2022-06-08,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,352,37,0,9,0,0
159,2022-06-09,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,332,37,0,9,0,0
160,2022-06-10,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,304,37,0,9,0,0
161,2022-06-11,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,271,37,0,9,0,0
162,2022-06-12,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,44,44,0,660000.0,227,37,0,9,0,0
163,2022-06-13,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,202,37,0,9,0,0
164,2022-06-14,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,18,18,0,270000.0,184,37,0,9,0,0
165,2022-06-15,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,160,37,0,9,0,0
166,2022-06-16,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,134,37,0,9,0,0
167,2022-06-17,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,27,27,0,405000.0,107,37,0,9,0,0
168,2022-06-18,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,76,37,0,9,0,0
169,2022-06-19,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,43,37,0,9,0,0
170,2022-06-20,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,472,37,450,9,0,0
171,2022-06-21,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,449,37,0,9,0,0
172,2022-06-22,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,25,25,0,375000.0,424,37,0,9,0,0
173,2022-06-23,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,18,18,0,270000.0,406,37,0,9,0,0
174,2022-06-24,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,386,37,0,9,0,0
175,2022-06-25,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,362,37,0,9,0,0
176,2022-06-26,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,34,34,0,510000.0,328,37,0,9,0,0
177,2022-06-27,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,307,37,0,9,0,0
178,2022-06-28,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,285,37,0,9,0,0
179,2022-06-29,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,264,37,0,9,0,0
180,2022-06-30,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,236,37,0,9,0,0
181,2022-07-01,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,213,37,0,9,0,0
182,2022-07-02,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,180,37,0,9,0,0
183,2022-07-03,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,152,37,0,9,0,0
184,2022-07-04,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,19,19,0,285000.0,133,37,0,9,0,0
185,2022-07-05,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,110,37,0,9,0,0
186,2022-07-06,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,88,37,0,9,0,0
187,2022-07-07,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,62,37,0,9,0,0
188,2022-07-08,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,39,37,0,9,0,0
189,2022-07-09,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,458,37,450,9,0,0
190,2022-07-10,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,426,37,0,9,0,0
191,2022-07-11,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,403,37,0,9,0,0
192,2022-07-12,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,383,37,0,9,0,0
193,2022-07-13,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,353,37,0,9,0,0
194,2022-07-14,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,327,37,0,9,0,0
195,2022-07-15,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,301,37,0,9,0,0
196,2022-07-16,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,268,37,0,9,0,0
197,2022-07-17,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,246,37,0,9,0,0
198,2022-07-18,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,216,37,0,9,0,0
199,2022-07-19,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,192,37,0,9,0,0
200,2022-07-20,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,24,24,0,360000.0,168,37,0,9,0,0
201,2022-07-21,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,20,20,0,300000.0,148,37,0,9,0,0
202,2022-07-22,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,126,37,0,9,0,0
203,2022-07-23,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,93,37,0,9,0,0
204,2022-07-24,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,31,31,0,465000.0,62,37,0,9,0,0
205,2022-07-25,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,23,23,0,345000.0,39,37,0,9,0,0
206,2022-07-26,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,467,37,450,9,0,0
207,2022-07-27,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,28,28,0,420000.0,439,37,0,9,0,0
208,2022-07-28,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,407,37,0,9,0,0
209,2022-07-29,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,385,37,0,9,0,0
210,2022-07-30,Store_Delhi,Electronics,Smartphone,15000,0.07,13950.0,27,27,0,376650.0,358,37,0,9,1,0
211,2022-07-31,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,30,30,0,450000.0,328,37,0,9,0,0
212,2022-08-01,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,26,26,0,390000.0,302,37,0,9,0,0
213,2022-08-02,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,33,33,0,495000.0,269,37,0,9,0,0
214,2022-08-03,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,22,22,0,330000.0,247,37,0,9,0,0
215,2022-08-04,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,215,37,0,9,0,0
216,2022-08-05,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,21,21,0,315000.0,194,37,0,9,0,0
217,2022-08-06,Store_Delhi,Electronics,Smartphone,15000,0.0,15000.0,32,32,0,480000.0,162,37,0,9,0,0
218,2022-08-07,Store_Delhi,Electronics,Smartphone,15000,0.08,13800.0,33,33,0,455400.0,129,37,0,9,1,0
